Boba_pl,Address,Latitude,Longitude
TocoToco - Tân Mai,"12 Tân Mai, Hoàng Mai",21.0280475,105.812417
TocoToco - Nguyễn Chí Thanh,"54 Nguyễn Chí Thanh, Ba Đình, Hà Nội",21.025119,105.853137
TocoToco - Hàng Bài,"4B Hàng Bài, Quận Hoàn Kiếm, Hà Nội",21.0250999,105.844713
Hefkcha Lí Thường Kiệt,"60 Lý Thường Kiệt, Hà Nội",21.023497,105.850111
Heekcaa Lí Thường Kiệt,"42C Lý Thường Kiệt, Hà Nội",21.0091836,105.8503884
Heekcaa Lê Đại Hành,"7 Lê Đại Hành, Hà Nội",21.0193681,105.8279079
Wang tea,"51A Ô Chợ Dừa, Đống Đa, Hà Nội",21.004779,105.835717
Taster's Choice Lương Định Của,"Số 4 - B14 Lương Định Của, Hà Nội",21.018859,105.851738
Taster's Choice Phố Huế,"30 Phố Huế, Hà Nội",21.0234859,105.804331
Taster's Choice Chùa Láng,"58 Chùa Láng, Hà Nội",21.001883,105.844356
Taster's Choice Lê Thanh Nghị,"73 Lê Thanh Nghị, Hà Nội",21.0194178,105.8278175
Taster's Choice Ô Chợ Dừa,"71 Ô Chợ Dừa, Hà Nội",20.9982788,105.8133759
Taster's Choice Nguyễn Trãi,"212C Nguyễn Trãi, Hà Nội",21.0107637,105.8489722
Citeafun Lê Đại Hành,"20 Lê Đại Hành, Hai Bà Trưng, Hà Nội",21.0209301,105.8256346
Citeafun Hoàng Cầu,"34 Hoàng Cầu, Đống Đa, Hà Nội",21.0036977,105.84788
Citeafun Tạ Quang Bửu,"17 Tạ Quang Bửu, Hai Bà Trưng, Hà Nội",21.042426,105.842594
Goky Quán Thánh,"124 Quán Thánh, Hà Nội",21.027327,105.825169
Goky Giảng Võ,"183 Giảng Võ, Hà Nội",21.0121676,105.8518421
Goky Phố Huế,"233 Phố Huế, Hà Nội",21.010993,105.821965
Goky Thái Hà,"25 Thái Hà, Hà Nội",21.000809,105.850634
Goky Bạch Mai,"425 Bạch Mai, Hà Nội",21.024386,105.852162
Goky Hai Bà Trưng,29 Hai Bà Trưng,21.0416029,105.792633
Goky Tô Hiệu,"106A-B9 Tô Hiệu, Cầu Giấy, Hà Nội",21.0112589,105.8111167
Goky Láng Hạ,"124 Láng Hạ, Láng Hạ, Quận Đống Đa, Hà Nội",20.993909,105.806951
Goky Nguyễn Trãi,"370 Nguyễn Trãi, Hà Nội",20.99592,105.861488
Goky Minh Khai,"318 Minh Khai, Mai Động, Quận Hai Bà Trưng, Hà Nội",20.9971285,105.815814
Goky Thượng Đình,"280 Thượng Đình, Thượng Đình, Quận Thanh Xuân, Hà Nội",21.0191612,105.8291096
Goky Ô Chợ Dừa,"19 Ô Chợ Dừa, Hà Nội",21.036749,105.7779
Goky Hồ Tùng Mậu,"88 Hồ Tùng Mậu, Mai Dịch, Quận Cầu Giấy, Hà Nội",21.01823,105.851666
